CV_Sentences;Sentences_CV_clean;CV_Number;Sentence_line;Nb_tokens;%texte_lu;%texte_lu_fin_ligne;Is_alpha;Grammar;Label
UNIVERSITAIRE  Université de Condorcet, Maîtrise en communication;UNIVERSITAIRE  Université de Condorcet, Maîtrise en communication;CV_89;13;9;77.78;22.22;[True, False, True, True, True, False, True, True, True];['NOUN', 'SPACE', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NOUN', 'ADP', 'NOUN'];0
| 2016;| 2016;CV_89;14;2;78.52;21.48;[False, False];['NOUN', 'NOUN'];0
- Présent Président, Bureau des étudiants de l'université | 2012 - 2016 Président du Club de photographie de l'université | 2012 - 2016  LANGUES PARLÉES  Néerlandais, irlandais, allemand, italien, espagnol, slovène, grec, finnois et danois chinoi;- Présent Président, Bureau des étudiants de l'université | 2012 - 2016 Président du Club de photographie de l'université | 2012 - 2016  LANGUES PARLÉES  Néerlandais, irlandais, allemand, italien, espagnol, slovène, grec, finnois et danois chinoi;CV_89;15;58;100.00;0.00;[False, True, True, False, True, True, True, True, False, True, False, False, False, False, True, True, True, True, True, True, False, True, False, False, False, False, False, True, True, False, True, False, True, False, True, False, True, False, True, False, True, False, True, False, True, True, True, True, False, True, False, True, False, True, False, True, True, True];['PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'SPACE', 'ADJ', 'PROPN', 'SPACE', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'NOUN', 'CCONJ', 'ADJ', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ', 'CCONJ', 'ADJ'];0
LUCIE MARNIER;LUCIE MARNIER;CV_90;0;2;0.83;99.17;[True, True];['PROPN', 'PROPN'];1
 ; ;CV_90;1;1;1.24;98.76;[False];['SPACE'];0
#NOM?;#NOM?;CV_90;2;9;4.98;95.02;[False, True, False, False, True, True, True, True, False];['ADP', 'NOUN', 'ADP', 'SPACE', 'ADP', 'DET', 'NOUN', 'NOUN', 'SPACE'];0
Un graphiste est un professionnel de 2019 - 2023 + Université de Dijon l'industrie du graphisme et des arts Bachelier en Communications graphiques qui assemble des images, de la  typographie ou des images animées pour 2023;Un graphiste est un professionnel de 2019 - 2023 + Université de Dijon l'industrie du graphisme et des arts Bachelier en Communications graphiques qui assemble des images, de la  typographie ou des images animées pour 2023;CV_90;3;39;21.16;78.84;[True, True, True, True, True, True, False, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, False];['DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADP', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'DET', 'SPACE', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'VERB', 'ADP', 'NUM'];0
- 2024 + Université de Dijon créer un élément de design;- 2024 + Université de Dijon créer un élément de design;CV_90;4;11;25.73;74.27;[False, False, False, True, True, True, True, True, True, True, True];['PUNCT', 'NUM', 'ADP', 'NOUN', 'ADP', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN'];0
.;.;CV_90;5;1;26.14;73.86;[False];['PUNCT'];0
Un graphiste Certificat en graphisme et illustration  crée des images qui seront ensuite publiées.;Un graphiste Certificat en graphisme et illustration  crée des images qui seront ensuite publiées.;CV_90;6;16;32.78;67.22;[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False];['DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'SPACE', 'VERB', 'DET', 'NOUN', 'PRON', 'AUX', 'ADV', 'VERB', 'PUNCT'];0
 ; ;CV_90;7;1;33.20;66.80;[False];['SPACE'];0
EXPÉRIENCE  2023  2025  2028  Studio Adora  Graphiste junior  + Chargée de créer des images pour des mises en page hors ligne.;EXPÉRIENCE  2023  2025  2028  Studio Adora  Graphiste junior  + Chargée de créer des images pour des mises en page hors ligne.;CV_90;8;28;44.81;55.19;[True, False, False, False, False, False, False, False, True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False];['NOUN', 'SPACE', 'NUM', 'SPACE', 'NUM', 'SPACE', 'NUM', 'SPACE', 'PROPN', 'PROPN', 'SPACE', 'NOUN', 'ADJ', 'SPACE', 'ADP', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];0
 ; ;CV_90;9;1;45.23;54.77;[False];['SPACE'];0
+ Modifie des photos pour des clients, des magazines et des réseaux sociaux.;+ Modifie des photos pour des clients, des magazines et des réseaux sociaux.;CV_90;10;15;51.45;48.55;[False, True, True, True, True, True, True, False, True, True, True, True, True, True, False];['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'PUNCT'];0
#NOM?;#NOM?;CV_90;11;5;53.53;46.47;[False, True, True, True, False];['ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];0
 ; ;CV_90;12;1;53.94;46.06;[False];['SPACE'];0
Studio Adora  Graphiste principale  + Chargée de créer des images pour des mises en page hors ligne.;Studio Adora  Graphiste principale  + Chargée de créer des images pour des mises en page hors ligne.;CV_90;13;20;62.24;37.76;[True, True, False, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False];['PROPN', 'PROPN', 'SPACE', 'NOUN', 'ADJ', 'SPACE', 'ADP', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];0
 ; ;CV_90;14;1;62.66;37.34;[False];['SPACE'];0
+ Modifie des photos pour des clients, des magazines et des réseaux sociaux.;+ Modifie des photos pour des clients, des magazines et des réseaux sociaux.;CV_90;15;15;68.88;31.12;[False, True, True, True, True, True, True, False, True, True, True, True, True, True, False];['ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'PUNCT'];0
#NOM?;#NOM?;CV_90;16;5;70.95;29.05;[False, True, True, True, False];['ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'];0
 ; ;CV_90;17;1;71.37;28.63;[False];['SPACE'];0
Studio Adora  Directrice artistique  + Travaille en étroite collaboration avec l'équipe marketing pour élaborer des concepts pour les clients.;Studio Adora  Directrice artistique  + Travaille en étroite collaboration avec l'équipe marketing pour élaborer des concepts pour les clients.;CV_90;18;23;80.91;19.09;[True, True, False, True, True, False, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False];['PROPN', 'PROPN', 'SPACE', 'NOUN', 'ADJ', 'SPACE', 'ADP', 'VERB', 'ADP', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT'];0
+ Crée des concepts pour les principaux clients tels que la production de musique et plus encore.  COMPÉTENCES  Graphisme;+ Crée des concepts pour les principaux clients tels que la production de musique et plus encore.  COMPÉTENCES  Graphisme;CV_90;19;22;90.04;9.96;[False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, False, True];['ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADJ', 'SCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADV', 'ADV', 'PUNCT', 'SPACE', 'NOUN', 'SPACE', 'NOUN'];0
Images;Images;CV_90;20;1;90.46;9.54;[True];['NOUN'];0
animées;animées;CV_90;21;1;90.87;9.13;[True];['VERB'];0
Illustration;Illustration;CV_90;22;1;91.29;8.71;[True];['NOUN'];0
Vidéographie;Vidéographie;CV_90;23;1;91.70;8.30;[True];['PROPN'];0
Photographie;Photographie;CV_90;24;1;92.12;7.88;[True];['NOUN'];0
Mise en page  06 23 45 89 20 + 01 23 45 89 12 + sitevraimentsuper@email.com + www.sitevraimentsuper.fr;Mise en page  06 23 45 89 20 + 01 23 45 89 12 + sitevraimentsuper@email.com + www.sitevraimentsuper.fr;CV_90;25;19;100.00;0.00;[True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False];['NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'DET', 'DET', 'NUM', 'PRON', 'ADP', 'NOUN', 'DET', 'DET', 'NUM', 'PRON', 'ADP', 'NOUN', 'ADP', 'NOUN'];0
PROFIL  ;PROFIL  ;CV_91;0;2;0.66;99.34;[True, False];['NOUN', 'SPACE'];0
Infirmière agréée passionnée par la prise en charge des nouveau- nés et des enfants, je souhaiterais poursuivre un doctorat en sciences infirmières néonatales pour devenir infirmière praticienne en néonatologie.;Infirmière agréée passionnée par la prise en charge des nouveau- nés et des enfants, je souhaiterais poursuivre un doctorat en sciences infirmières néonatales pour devenir infirmière praticienne en néonatologie.;CV_91;1;31;10.96;89.04;[True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['NOUN', 'ADJ', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT'];0
Forte de mon expérience, de mes compétences et de ma formation, je suis la candidate idéale pour cette filière.  COORDONNÉES  & 01;Forte de mon expérience, de mes compétences et de ma formation, je suis la candidate idéale pour cette filière.  COORDONNÉES  & 01;CV_91;2;27;19.93;80.07;[True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, True, False, False, False];['NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'SPACE', 'NOUN', 'SPACE', 'CCONJ', 'NOUN'];0
-23;-23;CV_91;3;2;20.60;79.40;[False];['SPACE'];0
-;-;CV_91;4;1;20.93;79.07;[False];['PUNCT'];0
45;45;CV_91;5;1;21.26;78.74;[False];['NUM'];0
-67;-67;CV_91;6;2;21.93;78.07;[False];['SPACE'];0
-89  bonjour@supersite.fr  3, rue de la République, 9 69001 Lyon, France  MURIELLE GAUTIER  Maîtrise en Soins infirmiers  EXPÉRIENCE PROFESSIONNELLE  INFIRMIÈRE AU SERVICE DES SOINS INTENSIFS, HÔPITAL SAINT-YVES  Centre médical du lycée Beaulieu | ;-89  bonjour@supersite.fr  3, rue de la République, 9 69001 Lyon, France  MURIELLE GAUTIER  Maîtrise en Soins infirmiers  EXPÉRIENCE PROFESSIONNELLE  INFIRMIÈRE AU SERVICE DES SOINS INTENSIFS, HÔPITAL SAINT-YVES  Centre médical du lycée Beaulieu | ;CV_91;7;72;45.85;54.15;[False, False, False, False, False, False, True, True, True, True, False, False, False, True, False, True, False, True, True, False, True, True, True, True, False, True, True, False, True, True, True, True, True, True, False, True, False, False, True, True, True, True, True, False, True, False, True, False, False, True, True, True, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True];['ADV', 'SPACE', 'PROPN', 'SPACE', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NUM', 'DET', 'PROPN', 'PUNCT', 'PROPN', 'SPACE', 'NOUN', 'PROPN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'SPACE', 'NOUN', 'PROPN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'VERB', 'SPACE', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'NOUN', 'NUM', 'ADP', 'ADV', 'SPACE', 'DET', 'NOUN', 'VERB', 'PUNCT', 'SPACE', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADP', 'NOUN', 'ADJ', 'ADP', 'ADJ', 'NUM', 'VERB'];1
-;-;CV_91;8;1;46.18;53.82;[False];['PUNCT'];0
Responsable de la tenue et de la mise à jour des dossiers relatifs aux soins du patient;Responsable de la tenue et de la mise à jour des dossiers relatifs aux soins du patient;CV_91;9;17;51.83;48.17;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];['NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN'];0
- Communication et éducation des parents concernant les activités quotidiennes et les procédures de soins à domicile  INFIRMIÈRE EN PÉDIATRIE  Centre médical de Condorcet;- Communication et éducation des parents concernant les activités quotidiennes et les procédures de soins à domicile  INFIRMIÈRE EN PÉDIATRIE  Centre médical de Condorcet;CV_91;10;26;60.47;39.53;[False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True];['PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'ADJ', 'ADP', 'PROPN'];0
| mars 2015;| mars 2015;CV_91;11;3;61.46;38.54;[False, True, False];['ADP', 'NOUN', 'NUM'];0
- juin 2017 Mes responsabilités comprennent :  + Soins avant et après les opérations;- juin 2017 Mes responsabilités comprennent :  + Soins avant et après les opérations;CV_91;12;15;66.45;33.55;[False, True, False, True, True, True, False, False, False, True, True, True, True, True, True];['PUNCT', 'NOUN', 'NUM', 'DET', 'NOUN', 'VERB', 'PUNCT', 'SPACE', 'ADP', 'NOUN', 'ADP', 'CCONJ', 'ADP', 'DET', 'NOUN'];0
- Surveillance et administration de médicaments;- Surveillance et administration de médicaments;CV_91;13;6;68.44;31.56;[False, True, True, True, True, True];['PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN'];0
#NOM?;#NOM?;CV_91;14;4;69.77;30.23;[False, True, True, True];['PUNCT', 'NOUN', 'ADP', 'NOUN'];0
- Prélèvement des échantillons sur des patients et surveillance de leur pouls;- Prélèvement des échantillons sur des patients et surveillance de leur pouls;CV_91;15;12;73.75;26.25;[False, True, True, True, True, True, True, True, True, True, True, True];['PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN'];0
, leur température et de leur pression artérielle;, leur température et de leur pression artérielle;CV_91;16;8;76.41;23.59;[False, True, True, True, True, True, True, True];['PUNCT', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'ADJ'];0
- Vérification de l'état du patient et suivi des fonctions telles que la respiration;- Vérification de l'état du patient et suivi des fonctions telles que la respiration;CV_91;17;15;81.40;18.60;[False, True, True, False, True, True, True, True, True, True, True, True, True, True, True];['PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'DET', 'NOUN'];0
- Gestion des urgences  FORMATION  UNIVERSITÉ DE CONDORCET  Septembre 2011 à 2015  Licence en soins infirmiers, FNESI de Grenoble (Fédération Nationale des Étudiant.e.s en Soins;- Gestion des urgences  FORMATION  UNIVERSITÉ DE CONDORCET  Septembre 2011 à 2015  Licence en soins infirmiers, FNESI de Grenoble Fédération Nationale des Étudiant.e.s en Soins;CV_91;18;31;91.69;8.31;[False, True, True, True, False, True, False, True, True, True, False, True, False, True, False, False, True, True, True, True, False, True, True, True, True, True, True, False, True, True];['PUNCT', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'NUM', 'ADP', 'NUM', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN'];0
Infirmiers)  ;Infirmiers  ;CV_91;19;3;92.69;7.31;[True, False];['PROPN', 'SPACE'];0
LYCÉE SAINT-PAUL Septembre 2007;LYCÉE SAINT-PAUL Septembre 2007;CV_91;20;4;94.02;5.98;[True, False, True, False];['PROPN', 'PROPN', 'NOUN', 'NUM'];0
-2011  Capitaine de l'équipe de volley et Présidente du conseil étudiant pendant ma dernière année;-2011  Capitaine de l'équipe de volley et Présidente du conseil étudiant pendant ma dernière année;CV_91;21;18;100.00;0.00;[False, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True];['NOUN', 'SPACE', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN'];0
   INGÉNIEUR EN INFORMATIQUE  Coordonnées  PAR 7)  ©  10, rue d'Alésia, 75014 Paris, France  D<  Bonjouresitevraimentsuper.fr www.sitevraimentsuper.fr  Linkedin : esitevraimentsuper     ;   INGÉNIEUR EN INFORMATIQUE  Coordonnées  PAR 7  ©  10, rue d'Alésia, 75014 Paris, France  D<  Bonjouresitevraimentsuper.fr www.sitevraimentsuper.fr  Linkedin : esitevraimentsuper     ;CV_92;0;34;13.44;86.56;[False, True, True, True, False, True, False, True, False, False, False, False, False, False, True, False, True, False, False, True, False, True, False, True, False, False, False, False, False, True, False, True, False];['SPACE', 'ADV', 'ADP', 'PROPN', 'SPACE', 'NOUN', 'SPACE', 'ADP', 'NUM', 'SPACE', 'PROPN', 'SPACE', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'PROPN', 'SPACE', 'NOUN', 'VERB', 'SPACE', 'NOUN', 'ADJ', 'SPACE', 'PRON', 'PUNCT', 'NOUN', 'SPACE'];0
JULIE PARVOIT     ;JULIE PARVOIT     ;CV_92;1;3;14.62;85.38;[True, True, False];['PROPN', 'PROPN', 'SPACE'];1
Je suis une ingénieur en informatique avec plus de vingt ans d'expérience dans le secteur de la technologie, qui peut fournir une expertise précieuse pour les entreprises qui démarrent.  ;Je suis une ingénieur en informatique avec plus de vingt ans d'expérience dans le secteur de la technologie, qui peut fournir une expertise précieuse pour les entreprises qui démarrent.  ;CV_92;2;33;27.67;72.33;[True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, False];['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADV', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'PUNCT', 'SPACE'];0
DOMAINES D'EXPERTISE     + J'ai travaillé sur différents types de projets, et j'ai maîtrisé plusieurs langages de programmation et de codage, de même que j'ai effectué des tests et des débogage de logiciels  EXPÉRIENCE PROFESSIONNELLE     INGÉNIEUR;DOMAINES D'EXPERTISE     + J'ai travaillé sur différents types de projets, et j'ai maîtrisé plusieurs langages de programmation et de codage, de même que j'ai effectué des tests et des débogage de logiciels  EXPÉRIENCE PROFESSIONNELLE     INGÉNIEUR;CV_92;3;44;45.06;54.94;[True, False, True, False, False, False, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, False, True];['NOUN', 'ADP', 'NOUN', 'SPACE', 'ADP', 'PRON', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'ADV', 'SCONJ', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'PROPN', 'SPACE', 'ADV'];0
LOGICIEL EN CHEF;LOGICIEL EN CHEF;CV_92;4;3;46.25;53.75;[True, True, True];['NOUN', 'ADP', 'NOUN'];0
LA TECHNOLOGIE CÂBLÉE;LA TECHNOLOGIE CÂBLÉE;CV_92;5;3;47.43;52.57;[True, True, True];['DET', 'NOUN', 'NOUN'];0
| MAI 2020;| MAI 2020;CV_92;6;3;48.62;51.38;[False, True, False];['ADP', 'NOUN', 'NUM'];0
- À AUJOURD'HUI  + Gestion de la plus grande équipe d'ingénieurs logiciel de la société .;- À AUJOURD'HUI  + Gestion de la plus grande équipe d'ingénieurs logiciel de la société .;CV_92;7;19;56.13;43.87;[False, True, False, True, False, False, True, True, True, True, True, True, False, True, True, True, True, True, False];['PUNCT', 'ADP', 'SPACE', 'ADP', 'SPACE', 'ADP', 'NOUN', 'ADP', 'DET', 'ADV', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT'];0
S'assurer que les projets majeurs suivent la chronologie établie + Communiquer les besoins de l'équipe aux autres départements  INGÉNIEUR LOGICIEL PRINCIPAL;S'assurer que les projets majeurs suivent la chronologie établie + Communiquer les besoins de l'équipe aux autres départements  INGÉNIEUR LOGICIEL PRINCIPAL;CV_92;8;24;65.61;34.39;[False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, False, True, True, True];['PRON', 'VERB', 'SCONJ', 'DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'SPACE', 'ADJ', 'AUX', 'ADJ'];0
LES STRATÉGIES LOGICIELLES;LES STRATÉGIES LOGICIELLES;CV_92;9;3;66.80;33.20;[True, True, True];['DET', 'NOUN', 'ADJ'];0
| MAI 2015;| MAI 2015;CV_92;10;3;67.98;32.02;[False, True, False];['ADP', 'NOUN', 'NUM'];0
- MARS 2020  ;- MARS 2020  ;CV_92;11;4;69.57;30.43;[False, True, False, False];['PUNCT', 'NOUN', 'NUM', 'SPACE'];0
e Concevoir et développer des systèmes d'information pour les clients .;e Concevoir et développer des systèmes d'information pour les clients .;CV_92;12;12;74.31;25.69;[True, True, True, True, True, True, False, True, True, True, True, False];['NOUN', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT'];0
Aider l'équipe sur les différents aspects des projets + Gestion d'équipe lorsque le chef d'équipe est indisponible  FORMATION SCOLAIRE     ;Aider l'équipe sur les différents aspects des projets + Gestion d'équipe lorsque le chef d'équipe est indisponible  FORMATION SCOLAIRE     ;CV_92;13;24;83.79;16.21;[True, False, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, False, True, True, False];['VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'SCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'ADJ', 'SPACE', 'NOUN', 'ADJ', 'SPACE'];0
UNIVERSITÉ;UNIVERSITÉ;CV_92;14;1;84.19;15.81;[True];['PROPN'];0
DE CHARENTON;DE CHARENTON;CV_92;15;2;84.98;15.02;[True, True];['ADP', 'SPACE'];0
MASTER EN INGÉNIERIE LOGICIELLE, CLASSE DE 2008  + Diplômée avec les honneurs  + Maîtrise en programmation;MASTER EN INGÉNIERIE LOGICIELLE, CLASSE DE 2008  + Diplômée avec les honneurs  + Maîtrise en programmation;CV_92;16;19;92.49;7.51;[True, True, True, True, False, True, True, False, False, False, True, True, True, True, False, False, True, True, True];['ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NUM', 'SPACE', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'ADP', 'NOUN'];0
avancée  + À travaillé en tant que superviseur étudiant pour le bureau technique de l'université de Charenton;avancée  + À travaillé en tant que superviseur étudiant pour le bureau technique de l'université de Charenton;CV_92;17;19;100.00;0.00;[True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True];['NOUN', 'SPACE', 'ADP', 'ADP', 'VERB', 'ADP', 'ADV', 'SCONJ', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN'];0
VALENTINE;VALENTINE;CV_93;0;1;0.38;99.62;[True];['ADJ'];1
GUÉRIN  Spécialiste en ressources humaines     COMPÉTENCES;GUÉRIN  Spécialiste en ressources humaines     COMPÉTENCES;CV_93;1;8;3.40;96.60;[True, False, True, True, True, True, False, True];['PROPN', 'SPACE', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'SPACE', 'NOUN'];1
PRINCIPALES  ;PRINCIPALES  ;CV_93;2;2;4.15;95.85;[True, False];['NOUN', 'SPACE'];0
- Formation et développement des employés  ;- Formation et développement des employés  ;CV_93;3;7;6.79;93.21;[False, True, True, True, True, True, False];['PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'SPACE'];0
-;-;CV_93;4;1;7.17;92.83;[False];['PUNCT'];0
Meilleures pratiques de recrutement  ;Meilleures pratiques de recrutement  ;CV_93;5;5;9.06;90.94;[True, True, True, True, False];['ADJ', 'NOUN', 'ADP', 'NOUN', 'SPACE'];0
- Mécanisme souple appliqué aux RH  - Systèmes informatiques liés aux RH et science des données  EXPÉRIENCE PROFESSIONNELLE  Directrice générale des RH  SOLUTIONS NUMÉRIX;- Mécanisme souple appliqué aux RH  - Systèmes informatiques liés aux RH et science des données  EXPÉRIENCE PROFESSIONNELLE  Directrice générale des RH  SOLUTIONS NUMÉRIX;CV_93;6;28;19.62;80.38;[False, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, False, True, True];['PUNCT', 'NOUN', 'ADJ', 'VERB', 'ADP', 'PROPN', 'SPACE', 'PUNCT', 'NOUN', 'ADJ', 'VERB', 'ADP', 'PROPN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'SPACE', 'NOUN', 'PROPN', 'SPACE', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'SPACE', 'NOUN', 'PROPN'];0
